lng,lat,pi,dst,sid,stn,dsts,types
-109.033333,42.3,69,pollen surface sample,1292,JHMS07 (McAndrews and Wright 1969),pollen surface sample,1
-98.75,44.9,69,pollen surface sample,1318,JHMS32 (McAndrews and Wright 1969),pollen surface sample,1
-80.324444,26.275,704,pollen surface sample,1327,Site 7 (Jensen 1998),pollen surface sample,1
-80.379167,26.289444,704,pollen surface sample,1334,Site 14 (Jensen 1998),pollen surface sample,1
-80.386389,26.302222,704,pollen surface sample,1335,Site 15 (Jensen 1998),pollen surface sample,1
-91.83,62.83,119,pollen surface sample,1393,Rankin Inlet,pollen surface sample,1
-90.35,45.3,48,pollen,1410,Kellys Hollow,pollen,1
-67.87,45.77,40,pollen surface sample,1432,Longfellow Lake,pollen surface sample,1
-67.77,46.72,40,pollen surface sample,1439,Tomlinson Lake,pollen surface sample,1
-6.138780000000001,43.041685,106,pollen,1537,Lago de Ajo,"loss-on-ignition,
 pollen",2
-84.783333,45.066667,13,pollen,1541,Lake 27,pollen,1
-93.6875,45.425,69,pollen,1544,Lake Ann,pollen,1
-106.079167,53.8,74,pollen,1546,Lake B,pollen,1
-81.316667,48.4,64,pollen,1562,Lake Six,pollen,1
-75.605,57.893333,40,pollen surface sample,1572,LB02,pollen surface sample,1
-76.616667,-10.766667,46,pollen,1584,Laguna Huatacocha,pollen,1
-92.825,45.05,35,pollen,1586,Lily Lake (US:Minnesota),pollen,1
-68.2,45.033333,50,loss-on-ignition,1611,Loon Pond,"pollen,
 loss-on-ignition",2
-117.616667,52.733333,702,pollen,1638,Maligne Lake,pollen,1
165.933333,68.166667,306,pollen,1641,Enmynveem River (mammoth site),pollen,1
-71.422778,47.077778,59,pollen,1647,Lac Marcotte,"loss-on-ignition,
 pollen",2
-81.866667,29.3,106,pollen,1719,Mud Lake (US:Florida),pollen,1
-77.703333,55.291667,40,pollen surface sample,1809,PB04B,pollen surface sample,1
-48.866667,-26.416667,422,pollen,1828,Poço Grande,pollen,1
6.063056,50.122778,1030,pollen,3260,Breidfeld,pollen,1
-5.483333,57.083333,116,loss-on-ignition,3273,Loch Maree,"pollen,
 loss-on-ignition",2
26.233333,62.333333,1289,pollen,3279,Mayralampi,pollen,1
29.983333,60.516667,1261,pollen,3284,Michurinskoe Lake,pollen,1
10.214722,44.298611,1308,pollen,3337,Lago Padule,pollen,1
24.736111,54.313889,1252,pollen,3342,Pamerkiai Outcrop,pollen,1
26.666667,58.6,1201,loss-on-ignition,3369,Raigastvere Lake,"pollen,
 loss-on-ignition",2
5.608333,45.341667,1028,pollen,3374,Grand Ratz le Pellet,pollen,1
0.433333,52.433333,1307,pollen,3375,Redmere,pollen,1
6.336389,44.42,706,pollen,3416,Lac Saint Léger,pollen,1
39.833333,52.25,1025,pollen,3446,Stupino,pollen,1
20.85,51.05,1268,pollen,3448,Suchedniow,pollen,1
16.25,50.1,752,pollen,3492,Vernerovice,pollen,1
-90.75,63.33,119,pollen surface sample,1394,Chesterfield Inlet,pollen surface sample,1
-89.9,46.25,108,pollen,197,Lake Mary,pollen,1
-93.6305,45.03503,27,loss-on-ignition,1814,Pogonia Bog Pond,"pollen surface sample,
 pollen,
 loss-on-ignition",3
-73.3,45.988889,85,pollen surface sample,1000,Tourbière de Lanoraie HENRI,pollen surface sample,1
-111.345278,34.462222,7,pollen,1906,Potato Lake,pollen,1
-71.807778,46.891944,61,pollen,1877,Saint-Raymond,pollen,1
-71.666667,44.166667,95,pollen surface sample,757,Eagle Lake Bog,"pollen,
 pollen surface sample",2
-149.916667,65.916667,92,pollen surface sample,2315,HR 002 [Five Mile],pollen surface sample,1
-149.433333,67.466667,92,pollen surface sample,2336,HR 044,pollen surface sample,1
-149.616667,67.983333,92,pollen surface sample,2349,HR 057 [Table Mountain SC.],pollen surface sample,1
-149.583333,68.083333,92,pollen surface sample,2352,HR 060 [Chandler Camp],pollen surface sample,1
-62.58,57.93,92,pollen surface sample,2386,Napaktok (Black Duck) Bay,pollen surface sample,1
-102,55,63,pollen surface sample,2434,Stations 56-61 (Lichti-Federovich and Ritchie 1968),pollen surface sample,1
-101.08,51.83,63,pollen surface sample,2441,Stations 85-86 (Lichti-Federovich and Ritchie 1968),pollen surface sample,1
-81.15,25.32,743,pollen surface sample,2872,Site 7 (Riegel 1965),pollen surface sample,1
90.6,49.5,785,pollen,2962,Achit-Nur,pollen,1
-1.55,43.25,1195,pollen,2989,Atxuri,pollen,1
-5.366111,58.035833,1196,pollen,2993,Badentarbat,pollen,1
20.283333,51.204167,1073,pollen,3001,Bedlno,pollen,1
5.347222,49.641944,1030,pollen,3008,Abbaye d'Orval,pollen,1
2.25,49.4,712,pollen,3036,Tourbière de Bresles,pollen,1
-5,58.083333,1196,pollen,3043,Cam Loch,pollen,1
-4.283333,55.066667,116,pollen,3061,Clatteringshaws Loch,pollen,1
-0.833333,48.516667,1029,pollen,3113,Fougères,pollen,1
15.316667,56.233333,122,pollen,3141,Halsjön II,pollen,1
-0.266667,51.916667,1070,pollen,3146,Hitchin,pollen,1
21.589167,40.6225,733,pollen,3190,Khimaditis Ia,pollen,1
21.586111,40.6125,733,pollen,3192,Khimaditis III,pollen,1
-5.866667,54.416667,1084,pollen,3251,Long Lough,pollen,1
-0.862222,46.444444,1298,pollen,3257,Lutinière,pollen,1
28.2,54.183333,708,pollen,3271,Maloe,pollen,1
23.616667,43.516667,1015,pollen,3305,Mutorog Peat Bog,pollen,1
2.816667,45.516667,1294,pollen,3339,Puy de Pailleret,pollen,1
20.316667,69.35,697,pollen,3372,Rattuvarri,pollen,1
0.1,52.566667,14,loss-on-ignition,3401,Sea Mere,"loss-on-ignition,
 pollen",2
95.35,79.45,346,pollen,3404,Vevilov Ice Cap,pollen,1
24.791667,65.05,1091,pollen,3414,Sipola,pollen,1
0.333333,52.683333,1307,pollen,3506,Wiggenhall St. Germans,pollen,1
102.6,49.9,785,pollen,3511,Yamant-Nur,pollen,1
-71.316667,44.266667,95,pollen surface sample,1129,Lake of the Clouds (US:New Hampshire),pollen surface sample,1
-150.783333,66.516667,92,pollen surface sample,2321,HR 018,pollen surface sample,1
-150.666667,66.633333,92,pollen surface sample,2325,HR 022 [South Fork Bonanza Creek],pollen surface sample,1
-62.58,57.93,92,pollen surface sample,2386,Napaktok (Black Duck) Bay,pollen surface sample,1
-68.5,63.75,92,pollen surface sample,2390,Site 5 (Short unpublished),pollen surface sample,1
-94,58.67,63,pollen surface sample,987,Choir Boy Lake,pollen surface sample,1
-99.65835000000001,50.69095,86,pollen surface sample,770,E Lake,"pollen,
 pollen surface sample",2
30.566667,41.033333,733,pollen,2963,Akgöl Adatepe,pollen,1
13.783333,55.45,1074,pollen,3017,Bjärsjöholmssjön,pollen,1
6.933889,45.567222,1035,pollen,3059,Lac du Clou,pollen,1
12.925,43.025,1018,pollen,3064,Colfiorito,pollen,1
13.866667,47.166667,1131,pollen,3089,Dürrenecksee-Moor,pollen,1
10.133333,62.566667,741,pollen,3115,Frengstadsetra,pollen,1
2.7,45.416667,1294,pollen,3122,Bois des Gardes,pollen,1
4.126389,39.875,1319,pollen,3153,Hort Timoner,pollen,1
24.216667,60.733333,1302,pollen,3178,Kaartlamminsuo,pollen,1
-2.108333,52.808333,995,pollen,3194,King's Pool,pollen,1
24.666667,58,754,loss-on-ignition,3316,Nigula,"loss-on-ignition,
 pollen",2
25.483333,51.983333,708,pollen,3346,Peschanoe,pollen,1
40.480556,43.666667,558,pollen,3402,Serni,pollen,1
-4.894444,58.320556,1196,pollen,3425,Lochan an Smuraich,pollen,1
23.533333,42.05,1015,pollen,3450,Dry Lake II,pollen,1
21.1,49.633333,1268,pollen,3456,Szymbark,pollen,1
6.404167,44.391111,706,pollen,3046,Vallon de Provence,pollen,1
28.888889,42.0675,989,pollen,3510,Black Sea (Southwest 2),pollen,1
-99.63,60.85,119,pollen surface sample,1371,Nueltin Lake Site 9,pollen surface sample,1
-91.37,66.9,119,pollen surface sample,1382,Sand,pollen surface sample,1
-89.83,68.53,119,pollen surface sample,1383,Pelly Bay,pollen surface sample,1
-89.83,68.53,119,pollen surface sample,1383,Pelly Bay,pollen surface sample,1
-88.17,68.33,119,pollen surface sample,1384,Keith Bay,pollen surface sample,1
-75.13,68.92,119,pollen surface sample,1388,Longstaff Bluff,pollen surface sample,1
-75.13,68.92,119,pollen surface sample,1388,Longstaff Bluff,pollen surface sample,1
-71.17,68.62,119,pollen surface sample,1389,Dewar Lakes,pollen surface sample,1
-71.17,68.62,119,pollen surface sample,1389,Dewar Lakes,pollen surface sample,1
-94.08,61.1,119,pollen surface sample,1391,Eskimo Point,pollen surface sample,1
-92.75,62.13,119,pollen surface sample,1392,Mistake Bay,pollen surface sample,1
-93.12254999999999,44.770849999999996,114,pollen,1483,Kirchner Marsh,pollen,1
-84.958333,46.427222,90,pollen,1669,McNearny Lake,pollen,1
-70.0005,41.9327,112,pollen surface sample,753,Duck Pond,"pollen,
 pollen surface sample",2
-92.010535,48.098755,99,pollen surface sample,1815,Third Lake,"loss-on-ignition,
 pollen surface sample,
 pollen",3
-92.010535,48.098755,99,loss-on-ignition,1815,Third Lake,"loss-on-ignition,
 pollen surface sample,
 pollen",3
-93.6305,45.03503,27,pollen surface sample,1814,Pogonia Bog Pond,"pollen surface sample,
 pollen,
 loss-on-ignition",3
-108.503889,37.473889,250,pollen,2241,Sagehen Marsh,pollen,1
-108.25,33.866667,148,pollen,2260,San Agustin Plains,pollen,1
-149.733333,67.550833,92,pollen surface sample,2339,HR 047,pollen surface sample,1
-149.75,68,92,pollen surface sample,2350,HR 058,pollen surface sample,1
-148.583333,70.058333,92,pollen surface sample,2377,HR 112,pollen surface sample,1
-64.12,59.18,92,pollen surface sample,2385,Komaktarvik Lake,pollen surface sample,1
-65.75,66.08,92,pollen surface sample,2391,Pangnirtung Fiord,pollen surface sample,1
-102,55,63,pollen surface sample,2434,Stations 56-61 (Lichti-Federovich and Ritchie 1968),pollen surface sample,1
-63.883333,56.633333,60,pollen,1064,Snow Lake,"pollen surface sample,
 pollen",2
-91.66,47.471667,38,pollen,2849,Weber Lake,pollen,1
41.284167,43.291667,558,pollen,2975,Amtkel 2,pollen,1
5.347222,49.641944,1030,pollen,3008,Abbaye d'Orval,pollen,1
16.15,57.166667,1265,pollen,3009,Bergakyllen,pollen,1
7.843056,46.259167,148,pollen,3030,Boehnigsee Goldmoos,pollen,1
2.877778,45.450556,1079,pollen,3048,Lac de Chambedaze,pollen,1
29.133333,55.133333,1318,pollen,3071,Lake Crivoe,pollen,1
-4.983333,54.891667,628,pollen,3074,Culhorn Mains,pollen,1
3.916667,43.566389,1205,pollen,3093,Embouchac,pollen,1
-112.576388888889,29.7708333333333,7,pollen,2265,Sierra Bacha 1,"pollen,
 pollen surface sample",2
-150.75,66.583333,92,pollen surface sample,2323,HR 020,pollen surface sample,1
-150.716667,66.8,92,pollen surface sample,2328,HR 026 [Prospect Climate Station],pollen surface sample,1
-149.75,67.616667,92,pollen surface sample,2341,HR 049,pollen surface sample,1
-149.8,67.95,92,pollen surface sample,2348,HR 056,pollen surface sample,1
-149.75,68,92,pollen surface sample,2350,HR 058,pollen surface sample,1
-148.9,69.149167,92,pollen surface sample,2374,HR 090 [Happy Valley Climate Station],pollen surface sample,1
-64.12,59.18,92,pollen surface sample,2385,Komaktarvik Lake,pollen surface sample,1
-62.58,57.93,92,pollen surface sample,2386,Napaktok (Black Duck) Bay,pollen surface sample,1
-62.57,57.92,92,pollen surface sample,2387,Site 2 (Short unpublished),pollen surface sample,1
-105.67,55.75,63,pollen surface sample,2430,Stations 40-43 (Lichti-Federovich and Ritchie 1968),pollen surface sample,1
-103.05,53.75,63,pollen surface sample,2437,Stations 70-76 (Lichti-Federovich and Ritchie 1968),pollen surface sample,1
-102.67,53.75,63,pollen surface sample,2438,Stations 77-81 (Lichti-Federovich and Ritchie 1968),pollen surface sample,1
-88.52,44.88,108,pollen surface sample,2721,Menominee Site 2 (Webb unpublished),pollen surface sample,1
6.093056,46.575278,998,pollen,3005,Bellefontaine,pollen,1
30.000278,54.216667,708,pollen,3015,Bezymiannoe,pollen,1
4.883333,60.533333,1156,pollen,3025,Blomoy,pollen,1
161,56.066667,346,pollen,3055,Cherny Yar,pollen,1
-6.6,52.35,25,pollen,3065,Coolteen,pollen,1
-6.6,52.35,25,pollen,3065,Coolteen,pollen,1
-9.6,54.25,600,loss-on-ignition,3070,Cregganmore,"loss-on-ignition,
 pollen",2
-9.6,54.25,600,pollen,3070,Cregganmore,"loss-on-ignition,
 pollen",2
21.283333,50.783333,1268,pollen,3075,Czajkow,pollen,1
98.794444,48.2,785,pollen,3076,Daba-Nur,pollen,1
-4.316667,55.116667,116,pollen,3087,Loch Dungeon,pollen,1
-3.700556,43.121389,1158,pollen,3097,Puerto de las Estaces de Trueba,pollen,1
13.666667,58.583333,431,pollen,3107,Lake Flarken,pollen,1
-6.3,57.183333,14,pollen,3125,Lochan coir a' Ghobhainn,pollen,1
14.555556,56.533333,122,pollen,3179,Kalven,pollen,1
-2.932222,47.554444,1298,pollen,3247,Locmariaquer,pollen,1
6.231389,49.799444,1030,pollen,3261,Echternach,pollen,1
14.833333,49.166667,1106,pollen,3290,Mokre Louky (North),pollen,1
2.8,45.533333,1294,pollen,3352,Picherande,pollen,1
-2.9,56.4,1311,loss-on-ignition,3353,Pickletillem,"loss-on-ignition,
 pollen",2
23.666667,41.716667,1254,pollen,3357,Popovo Ezero,pollen,1
14.116667,49.25,752,pollen,3377,Rezabinec,pollen,1
-102.67,53.75,63,pollen surface sample,2438,Stations 77-81 (Lichti-Federovich and Ritchie 1968),pollen surface sample,1
-92.010535,48.098755,99,loss-on-ignition,1815,Third Lake,"loss-on-ignition,
 pollen surface sample,
 pollen",3
-89.73205,43.4178,108,pollen surface sample,666,Devils Lake,pollen surface sample,1
-83.63,42.33,108,pollen surface sample,821,Frains Lake,pollen surface sample,1
-88.66,44.88,108,pollen surface sample,2728,Menominee Site 9 (Webb unpublished),pollen surface sample,1
-88.89,44.98,108,pollen surface sample,2750,Menominee Site 31 (Webb unpublished),pollen surface sample,1
16.15,57.2,1265,pollen,2961,Aborregöl,pollen,1
13.666667,58.333333,1000,pollen,3018,Bjarsjon,pollen,1
7.674444,47.172222,148,pollen,3039,Burgmoos,pollen,1
99.383333,51.333333,785,pollen,3085,Dood-Nur,pollen,1
30,55.85,708,pollen,3099,Ezerisch,pollen,1
-2.15,43.3,1195,pollen,3161,Inurritza,pollen,1
21.619722,40.641667,733,pollen,3193,Khimaditis IV,pollen,1
17.390278,52.556944,1273,pollen,3231,Lake Lednica,pollen,1
15.6,40.944444,106,pollen,3295,Lago Grande di Monticchio,pollen,1
17.6,53.15,1178,pollen,3306,Naklo,"pollen,
 loss-on-ignition",2
31.983333,56,1081,pollen,3349,Mire Petrolivo,pollen,1
1.4,52.033333,1070,pollen,3408,Shottisham,pollen,1
28.116667,61.216667,1302,pollen,3455,Syrjälänsuo,pollen,1
22.383333,58.466667,754,loss-on-ignition,3505,Mire Pelisoo,"loss-on-ignition,
 pollen",2
-91.500278,42.986111,125,pollen,6490,Roberts Creek RCBS,pollen,1
-112.11666666666666,41.36666666666667,2097,vertebrate fauna,4980,Bear River No. 3,vertebrate fauna,1
28.641667,36.875,733,pollen,3203,Köycegiz Gölü,pollen,1
39.5,59.7,784,pollen,3208,Kubenskoe Lake,pollen,1
6.231389,49.799444,1030,pollen,3261,Echternach,pollen,1
6.301667,49.851667,1030,pollen,3263,Reisdorf,pollen,1
6.548889,45.551389,1035,pollen,3294,Le Mont,pollen,1
25.633333,58.266667,754,pollen,3338,Påidre,"pollen,
 loss-on-ignition",2
-8.966667,53.066667,106,pollen,3359,Poulroe,pollen,1
6.336389,44.42,706,pollen,3416,Lac Saint Léger,pollen,1
27.116667,44.083333,1140,pollen,3439,Lake Srebarna,pollen,1
-2.016667,47.265,1001,pollen,3447,Saint Viaud Contin,pollen,1
1.75,48.416667,712,pollen,3499,Vallée de la Voise,pollen,1
19.994167,46.361389,713,pollen,3523,Zsombo Swamp,pollen,1
6.7494440000000004,45.884722,706,pollen,3527,Plateau de Prarion,pollen,1
-79.82,43.33,69,pollen,1816,Peatsah Section,pollen,1
-71.25,47.55,85,pollen surface sample,1850,Lac Chominich,pollen surface sample,1
-123.833333,48.905556,941,pollen,1899,Porphyry Lake,pollen,1
-93.166667,32.466667,37,pollen,1959,Rayburn's Dome,pollen,1
-105.933333,53.566667,74,pollen surface sample,2006,Tweedamuir,pollen surface sample,1
-105.55,54.55,74,pollen surface sample,2015,Mile 58 Lac la Ronge Highway,pollen surface sample,1
-85.72,49.8,74,pollen surface sample,2042,Site 6 (Mott unpublished),pollen surface sample,1
-65.58,45.58,74,pollen surface sample,2045,Site 9 (Mott unpublished),pollen surface sample,1
-118.08,46.8,21,pollen surface sample,2109,Stand 42 (Mack and Bryant 1974],pollen surface sample,1
-55.53,51.6,69,pollen,2187,L'Anse aux Meadows Road Cut Bog,pollen,1
-74.466944,46.057778,61,pollen,2262,Lac Manitou,pollen,1
-112.633333333333,29.8194444444444,7,pollen,2266,Sierra Bacha 3,pollen,1
-150.7,66.616667,92,pollen surface sample,2324,HR 021,pollen surface sample,1
-150.416667,66.95,92,pollen surface sample,2330,HR 030 [Grayling Lake],pollen surface sample,1
-149.433333,67.466667,92,pollen surface sample,2336,HR 044,pollen surface sample,1
-63.07,58.2,92,pollen surface sample,2384,Site 1 (Short unpublished),pollen surface sample,1
-97.83,60.05,63,pollen surface sample,2412,Station 20 (Lichti-Federovich and Ritchie 1968),pollen surface sample,1
-107.068889,38.832778,237,pollen,2503,Splains Gulch,pollen,1
-84.210556,35.584722,33,loss-on-ignition,2578,Tuskegee Pond,"loss-on-ignition,
 pollen",2
-89.699444,46.01,108,pollen surface sample,2602,Sparkling,pollen surface sample,1
-83.8,44.93,108,pollen surface sample,2663,Beaver Lake,pollen surface sample,1
-84.98,41.8,108,pollen surface sample,2714,Vandercook Lake,pollen surface sample,1
-88.7,45.09,108,pollen surface sample,2741,Menominee Site 22 (Webb unpublished),pollen surface sample,1
-88.52,45.276667,108,pollen surface sample,2744,Menominee Site 25 (Webb unpublished),pollen surface sample,1
-88.96,45.06,108,pollen surface sample,2758,Menominee Site 39 (Webb unpublished),pollen surface sample,1
-84.83,43.17,730,pollen surface sample,2783,McCracken's Pond,pollen surface sample,1
-108.808333,35.968889,67,pollen,2800,Utricularia Lake,pollen,1
-80.88,25.46,743,pollen surface sample,2926,Site 61 (Riegel 1965),pollen surface sample,1
-151.083333,63.483333,118,pollen,2935,Wonder Lake,pollen,1
-95.16745499999999,47.17548,69,pollen surface sample,291,Bog A Pond,"pollen,
 pollen surface sample",2
-99.727222,60.17,119,pollen surface sample,1364,Nueltin Lake Site 2,pollen surface sample,1
-99.7,60.35,119,pollen surface sample,1365,Nueltin Lake Site 3,pollen surface sample,1
-99.7,60.35,119,pollen surface sample,1365,Nueltin Lake Site 3,pollen surface sample,1
-99.63,60.43,119,pollen surface sample,1366,Nueltin Lake Site 4,pollen surface sample,1
3.916667,43.566389,1205,pollen,3444,Saint Sauveur,pollen,1
14.833333,56.866667,431,pollen,3477,Lake Trummen,pollen,1
11.025,46.858333,752,pollen,3522,Zirbenwaldmoor,pollen,1
20.444444,52.053611,1133,pollen,3525,Zyrardow,pollen,1
-93.733333,45.133333,69,pollen surface sample,1831,Piekert Lake,pollen surface sample,1
-71.233333,47.15,85,pollen surface sample,1854,Lac Equerre,pollen surface sample,1
-73.083333,48.9,85,pollen surface sample,1860,Lac à la Loutre,pollen surface sample,1
-63.55,50.25,85,pollen surface sample,1887,Mingan,pollen surface sample,1
-76.478611,38.547778,710,pollen,1909,"Chesapeake Bay, Parker Creek",pollen,1
-70.933333,-39.366667,148,pollen,1948,Rahue,pollen,1
-74.4,42,49,pollen surface sample,1949,Slide Mountain Site 1,pollen surface sample,1
-96.166667,47.6,69,pollen,1988,Rholl Lake,pollen,1
-118.68,47.35,21,pollen surface sample,2071,Stand 4 (Mack and Bryant 1974],pollen surface sample,1
-118.93,46.5,21,pollen surface sample,2082,Stand 15 (Mack and Bryant 1974],pollen surface sample,1
-118.43,46.78,21,pollen surface sample,2085,Stand 18 (Mack and Bryant 1974],pollen surface sample,1
-120.67,46.38,21,pollen surface sample,2112,Stand 45 (Mack and Bryant 1974],pollen surface sample,1
-119.8,46.55,21,pollen surface sample,2116,Stand 49 (Mack and Bryant 1974],pollen surface sample,1
-116.9,46.9,21,pollen surface sample,2149,"Site 4 (Mack, Bryant, and Pell 1978)",pollen surface sample,1
-116.92,46.8,21,pollen surface sample,2153,"Site 8 (Mack, Bryant, and Pell 1978)",pollen surface sample,1
-93.866667,72.6,40,pollen surface sample,2228,RS40,pollen surface sample,1
-67.131944,50.140278,74,pollen,2285,LD Lake,pollen,1
-90.133333,20.866667,459,pollen,2312,Cenote San Jose Chulchaca,pollen,1
-150.783333,66.516667,92,pollen surface sample,2321,HR 018,pollen surface sample,1
-150.5,66.9,92,pollen surface sample,2329,HR 028,pollen surface sample,1
-150.083333,67.45,92,pollen surface sample,2335,HR 043,pollen surface sample,1
-74.1833,41.236869999999996,588,loss-on-ignition,2508,Spruce Pond,"pollen,
 loss-on-ignition",2
123.85,57.05,346,pollen,2525,Suollakh,pollen,1
-74.037778,41.391389,588,loss-on-ignition,2527,Sutherland Pond,"loss-on-ignition,
 pollen",2
-74.033333,-48.733333,148,pollen,2545,Tempano Sur,pollen,1
-91.986667,44.634444,108,pollen surface sample,2587,Thompson (US:Wisconsin),pollen surface sample,1
-89,45.7,108,pollen surface sample,2613,Pine (WI1),pollen surface sample,1
-88.683333,45.573056,108,pollen surface sample,2615,Scattered Rice,pollen surface sample,1
-88.989444,45.179167,108,pollen surface sample,2623,Kolpack,pollen surface sample,1
-89.257222,42.885833,108,pollen surface sample,2650,Bass (WI2),pollen surface sample,1
-88.991944,43.001389,108,pollen surface sample,2653,Ripley,pollen surface sample,1
-83.4,44.68,108,pollen surface sample,2668,Brownlee Lake,pollen surface sample,1
-84.95,43.77,108,pollen surface sample,2683,Littlefield Lake,pollen surface sample,1
-83.75,42.45,108,pollen surface sample,2705,Whitmore Lake,pollen surface sample,1
-91.500278,42.986111,125,pollen,6498,Roberts Creek AB22A,pollen,1
6.476944,45.737222,1035,pollen,3395,Les Saisies,pollen,1
-2.468056,47.809444,1298,pollen,3403,Serrent,pollen,1
27.333333,59.05,754,pollen,3498,Vôhma Mire,pollen,1
21.466667,49.783333,1088,pollen,3526,Jaslo,pollen,1
-72.508611,42.574444,134,pollen,3530,Dead Frog Pond,pollen,1
5.233333,44.35,988,pollen,3098,Le Grand Etang de Suze-La-Rousse,pollen,1
-6.6,54.9,1084,pollen,3101,The Mire [Fallahogy],pollen,1
-2.25,47.366667,1298,pollen,3112,Grande Brière,pollen,1
8.091667,47.833333,1147,loss-on-ignition,3144,Hirschen Moor,"pollen,
 loss-on-ignition",2
-1.566667,54.75,602,pollen,3150,Houghall Wood,pollen,1
29,66.116667,1091,pollen,3180,Kangerjoki,pollen,1
24.983333,58.1,1143,pollen,3184,Karukula,pollen,1
5.863889,46.587222,998,pollen,3225,Etang du Lautrey,pollen,1
7.299167,47.031944,983,pollen,3245,Lobsigensee,"loss-on-ignition,
 pollen",2
12.333333,42.116667,1119,pollen,3276,Lago di Martignano,"loss-on-ignition,
 pollen",2
14.233333,58.283333,122,pollen,3303,Mullsjön,pollen,1
-0.683333,39.1,1022,pollen,3309,Navarrés,pollen,1
15.483333,49.688889,1266,pollen,3341,Palasiny,pollen,1
23.933333,49.666667,716,pollen,3343,Pecheniya,pollen,1
6.816667,45.315278,1035,pollen,3355,Plan du Lac,pollen,1
41.166667,43.666667,558,pollen,3367,Quartzevoe,pollen,1
-0.518333,51.585278,1070,pollen,3420,Sladeoak Lane,pollen,1
13.016667,56.433333,122,pollen,3421,Slatten,pollen,1
14.594444,56.688889,122,pollen,3435,Spjällsjön,pollen,1
18.983333,52.933333,1178,loss-on-ignition,3441,Steklin,"loss-on-ignition,
 pollen",2
24.916667,59.466667,751,pollen,3471,Tondi,pollen,1
35.8275,39.033333,733,pollen,3480,Tuzla Gölü,pollen,1
6.610556,45.689167,1035,pollen,3528,Col du Pré,pollen,1
-65.75,47.5,74,pollen surface sample,2056,Site 20 (Mott unpublished),pollen surface sample,1
-119.03,46.72,21,pollen surface sample,2091,Stand 24 (Mack and Bryant 1974],pollen surface sample,1
-118.37,46.77,21,pollen surface sample,2097,Stand 30 (Mack and Bryant 1974],pollen surface sample,1
-119.22,46.13,21,pollen surface sample,2125,Stand 58 (Mack and Bryant 1974],pollen surface sample,1
-118.32,46.83,21,pollen surface sample,2127,Stand 60 (Mack and Bryant 1974],pollen surface sample,1
-119.48,47.93,21,pollen surface sample,2133,Stand 66 (Mack and Bryant 1974],pollen surface sample,1
-116.83,46.8,21,pollen surface sample,2154,"Site 9 (Mack, Bryant, and Pell 1978)",pollen surface sample,1
-84.92,43.25,53,pollen surface sample,2207,Crystal Lake,pollen surface sample,1
29.616667,-3.433333,479,pollen,2233,Rusaka Swamp,pollen,1
-62.673889,-40.583056,467,pollen,2251,Salina Piedra,pollen,1
-155.68655,66.86675,118,loss-on-ignition,2275,Lake Selby,"pollen,
 loss-on-ignition",2
-150.716667,66.8,92,pollen surface sample,2328,HR 026 [Prospect Climate Station],pollen surface sample,1
-149.366667,67.483333,92,pollen surface sample,2337,HR 045,pollen surface sample,1
-96.17,64.33,63,pollen surface sample,2393,Station 1 (Lichti-Federovich and Ritchie 1968),pollen surface sample,1
-97,62.33,63,pollen surface sample,2402,Station 10 (Lichti-Federovich and Ritchie 1968),pollen surface sample,1
-95.33,59.83,63,pollen surface sample,2406,Station 14 (Lichti-Federovich and Ritchie 1968),pollen surface sample,1
-99.33,61.05,63,pollen surface sample,2411,Station 19 (Lichti-Federovich and Ritchie 1968),pollen surface sample,1
-103.05,54.9,63,pollen surface sample,2433,Stations 49-55 (Lichti-Federovich and Ritchie 1968),pollen surface sample,1
-102.67,53.75,63,pollen surface sample,2438,Stations 77-81 (Lichti-Federovich and Ritchie 1968),pollen surface sample,1
-96.05,54.67,63,pollen surface sample,2474,Station 123 (Lichti-Federovich and Ritchie 1968),pollen surface sample,1
-96.33,54.17,63,pollen surface sample,2476,Station 125 (Lichti-Federovich and Ritchie 1968),pollen surface sample,1
-113.716667,68.35,86,pollen surface sample,2488,Inuvik,pollen surface sample,1
-49.55,-28.55,422,pollen,2509,Serra do Rio Rastro,pollen,1
-102.499255,41.72106,114,pollen,2530,Swan Lake,pollen,1
-88.931111,44.365833,108,pollen surface sample,2633,White,pollen surface sample,1
-89.448333,42.926389,108,pollen surface sample,2648,Harriet,pollen surface sample,1
-88.931667,43.081389,108,pollen surface sample,2654,Rock,pollen surface sample,1
-85.72,44.75,108,pollen surface sample,2664,South Twin Lake,pollen surface sample,1
-85.87,43.7,108,pollen surface sample,2681,Woodland Lake,pollen surface sample,1
-85.05,43.23,108,pollen surface sample,2691,Holland Lake,pollen surface sample,1
-88.52,45.09,108,pollen surface sample,2757,Menominee Site 38 (Webb unpublished),pollen surface sample,1
-88.93,44.98,108,pollen surface sample,2772,Menominee Site 53 (Webb unpublished),pollen surface sample,1
-81.15,25.3,743,pollen surface sample,2869,Site 4 (Riegel 1965),pollen surface sample,1
-91.500278,42.986111,125,pollen,6488,Roberts Creek CCEH-1A,pollen,1
-91.500278,42.986111,125,pollen,6478,Roberts Creek AB35LH,pollen,1
-89.149635,38.92615,1448,ostracode surface sample,9592,Bear Gravel Pit Pond North,"ostracode surface sample,
 water chemistry",2
-92.90965,32.26097,644,ostracode surface sample,9600,Bell's Pond,"ostracode surface sample,
 water chemistry",2
