lng,lat,pi,dst,sid,stn,dsts,types
-70.666667,-38.583333,148,pollen,521,Cueva Haichol,pollen,1
-73.58,42.53,41,pollen surface sample,557,Lyons Pond,pollen surface sample,1
-88.63,35.8,32,pollen surface sample,565,Site 2 (Delcourt  et al. 1983),pollen surface sample,1
-87.67,32.58,32,pollen surface sample,574,Site 11 (Delcourt  et al. 1983),pollen surface sample,1
-88.68,33.78,32,pollen surface sample,587,Site 24 (Delcourt  et al. 1983),pollen surface sample,1
-79.05,36.07,32,pollen surface sample,601,Site 38 (Delcourt  et al. 1983),pollen surface sample,1
-89.98,29.88,32,pollen surface sample,639,Site 76 (Delcourt  et al. 1983),pollen surface sample,1
-93.73,36.1,32,pollen surface sample,647,Site 84 (Delcourt  et al. 1983),pollen surface sample,1
-94.33,35.23,32,pollen surface sample,649,Site 86 (Delcourt  et al. 1983),pollen surface sample,1
-65.17,58.47,745,pollen surface sample,694,Site 6 (Elliot-Fisk et al. 1982),pollen surface sample,1
-178.833333,67.75,118,pollen,696,Dikikh Olyenyeii Lake Exposure,pollen,1
-74.85,44.1,109,pollen surface sample,717,Site 8 (Whitehead and Jackson 1990),pollen surface sample,1
166,68.25,306,pollen,781,Enmynveem River,pollen,1
-81.334765,41.196155000000005,90,pollen,9980,East Twin Lake,"pollen,
 loss-on-ignition",2
-123.646667,60.356667,840,pollen surface sample,814,John Klondike Bog,"pollen surface sample,
 pollen",2
-50.216667,-24.666667,422,pollen,843,Serra Campos Gerais,pollen,1
-60.391667,46.066667,65,pollen,845,Upper Gillies Lake,pollen,1
-88.85,37.67,163,pollen surface sample,926,Happy Hollow Lake,pollen surface sample,1
-89.670815,43.439585,67,pollen,973,Hansen Marsh,pollen,1
-88.27,36.03,32,pollen surface sample,1098,Site 17 (Delcourt 1978),pollen surface sample,1
86,67.666667,890,pollen,1108,Igarka Peat Exposure,pollen,1
-71.316667,44.266667,68,pollen surface sample,1129,Lake of the Clouds (US:New Hampshire),pollen surface sample,1
-79.4,39.65,68,pollen surface sample,1134,Swallow Falls,pollen surface sample,1
-75.95,55.116667,40,pollen surface sample,6,17/3,pollen surface sample,1
-67.583333,-23.5,515,pollen,14,Aguas Calientes 2,pollen,1
-90.78,43.52,28,pollen surface sample,47,Liberty,pollen surface sample,1
-79.17,41.75,98,pollen surface sample,121,Site 51 (Swain unpublished),pollen surface sample,1
-79.51,45.38,69,pollen,219,Axe Lake,pollen,1
-119.008333,37.595833,7,pollen,231,Barrett Lake,pollen,1
-79.78,47.23,69,pollen,233,Baseball Bog,pollen,1
-95.55,43.45,46,pollen surface sample,240,Site 2 (Hansen unpublished),pollen surface sample,1
-107.259722,44.178611,11,pollen,243,Beaver Lake,pollen,1
-110.866666666667,37.3666666666667,130,pollen,244,Bechan Cave,pollen,1
-76.405,57.123333,40,pollen surface sample,258,BI03,pollen surface sample,1
-124.266667,71.75,40,pollen,261,Banks Island 74MS11,pollen,1
-123.55,44.55,238,pollen surface sample,382,Site 11 (Heusser 1978),pollen surface sample,1
-124.7,48.22,238,pollen surface sample,455,Hoh-Bogachiel Divide 1,pollen surface sample,1
-123.75,47.94,238,pollen surface sample,461,Cape Alava,pollen surface sample,1
-123.2,47.9,238,pollen surface sample,464,Beaver Lake (US:Washington),pollen surface sample,1
-47.85,-0.766667,422,pollen,526,Lagoa da Curuça,pollen,1
-80.469444,26.166944,710,pollen surface sample,541,"Water Conservation Area 3A, Site 3-4-1",pollen surface sample,1
-80.608611,26.170278,710,pollen surface sample,543,"Water Conservation Area 3A, Site 3-4-3",pollen surface sample,1
-83.33,31.4,32,pollen surface sample,593,Site 30 (Delcourt  et al. 1983),pollen surface sample,1
-79.33,34.5,32,pollen surface sample,608,Site 45 (Delcourt  et al. 1983),pollen surface sample,1
-108.951667,36.2375,114,pollen,655,Dead Man Lake,pollen,1
-65.25,58.33,745,pollen surface sample,691,Lac Daniel,pollen surface sample,1
31.033333,70.316667,697,pollen,700,Domsvatnet,pollen,1
-93.619035,44.47012,69,pollen,767,Eggert Lake,pollen,1
-82.76,41.92,69,pollen,785,Lake Erie,pollen,1
-117.9,52.7,146,pollen surface sample,890,GMM106,pollen surface sample,1
-113.833333,51.2,146,pollen surface sample,904,GMM125,pollen surface sample,1
-87.58,37.6,163,pollen surface sample,935,Site 133 (G.M. Peterson 1978),pollen surface sample,1
-98.17,61.5,744,pollen surface sample,986,Site 3 (Cole 1969),pollen surface sample,1
-94,58.67,744,pollen surface sample,987,Choir Boy Lake,pollen surface sample,1
-73.3,45.988889,23,pollen,1000,Tourbière de Lanoraie HENRI,pollen,1
-60.616667,53.6,60,pollen surface sample,1023,HFL24,pollen surface sample,1
